SNOMED;Diagnóstico;Topografia;CID;CID_PREDITO;CONFIANCA;NEEDS_REVIEW;METODO;JUSTIFICATIVA;CANDIDATOS_CID;FONTES_RAG
M-90100;Alteração Fibroadenomatoide;Mama esquerda - 01 Hora(Mamotomia);;D24;0.6364;False;rag_candidates;O candidato D24 tem o maior score de 0.6364 e é suportado por evidência de vetor CID.;"[""D24"", ""D05"", ""D059"", ""C501"", ""C500"", ""C508"", ""C12"", ""C50""]";"[""CR_694""]"
M-40000;Gastrite;Antro gástrico;K29;D002;0.6446;False;rag_candidates;Carcinoma in situ do estômago;"[""D002"", ""D131"", ""C944"", ""D762"", ""C16"", ""D371"", ""C161"", ""C162""]";"[""SNOMED_625"", ""SNOMED_653"", ""SNOMED_1080"", ""CR_523""]"
M-71600;Bócio;Tireoide;D34;D440;0.6465;False;rag_candidates;O diagnóstico do paciente é 'Bócio' e o candidato mais forte é 'D440' com uma confiança de 0,6465.;"[""D440"", ""D34"", ""D093"", ""D761"", ""D150"", ""D760"", ""C73"", ""C37""]";"[""CR_816""]"
M-82110;ADENOMA SERRILHADO;Cólon ascendente;D12;C187;0.6979;False;rag_candidates;O CID C187 foi escolhido porque foi o único candidato com um score de 0.6979, que é o maior score encontrado no contexto recuperado.;"[""C187"", ""C210"", ""C186"", ""C181"", ""C211"", ""C178"", ""D010"", ""C482""]";"[""SNOMED_159"", ""SNOMED_2504"", ""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D12;C187;0.7172;False;rag_candidates;O CID C187 foi escolhido porque foi o único candidato com um score de 0.7172, que é o maior score encontrado no contexto recuperado.;"[""C187"", ""C210"", ""C186"", ""C178"", ""C211"", ""C188"", ""C179"", ""D010""]";"[""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D129;C187;0.7172;False;rag_candidates;O CID C187 foi escolhido porque foi o único candidato com um score de 0.7172, que é o maior score encontrado no contexto recuperado.;"[""C187"", ""C210"", ""C186"", ""C178"", ""C211"", ""C188"", ""C179"", ""D010""]";"[""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D12;C210;0.6605;False;rag_candidates;O candidato C210 tem o maior score de evidência (0.6605) e é o único candidato com evidência de 'vector_cid', o que sugere uma classificação mais precisa.;"[""C210"", ""C19"", ""D011"", ""C850"", ""C211"", ""C488"", ""C311"", ""C438""]";"[""SNOMED_159"", ""SNOMED_2504"", ""CR_117""]"
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D129;C210;0.6605;False;rag_candidates;O candidato C210 tem o maior score de evidência (0.6605) e é o único candidato com evidência de 'vector_cid', o que sugere uma classificação mais precisa.;"[""C210"", ""C19"", ""D011"", ""C850"", ""C211"", ""C488"", ""C311"", ""C438""]";"[""SNOMED_159"", ""SNOMED_2504"", ""CR_117""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C180;C182;0.6973;False;rag_candidates;O candidato C182 tem o maior score de 0.6973 e é o mais semelhante ao diagnóstico do paciente.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_106""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C181;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C182;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C183;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C184;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C185;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C186;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C187;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C188;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C189;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido à forte semelhança com o diagnóstico do paciente (Adenocarcinoma Em Adenoma) e o suporte fornecido pela base de dados CID_Classificação CR.csv.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""C173"", ""C785""]";"[""CR_103""]"
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C185;C187;0.6906;False;rag_candidates;O candidato C187 tem o maior score de 0.6906 e está relacionado ao diagnóstico de Neoplasia maligna do cólon sigmóide.;"[""C18"", ""C179"", ""C187"", ""C178"", ""C182"", ""C189"", ""C173"", ""C181""]";"[""CR_111""]"
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C188;C187;0.6906;False;rag_candidates;O candidato C187 tem o maior score de 0.6906 e está relacionado ao diagnóstico de Neoplasia maligna do cólon sigmóide.;"[""C18"", ""C179"", ""C187"", ""C178"", ""C182"", ""C189"", ""C173"", ""C181""]";"[""CR_111""]"
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C189;C187;0.6906;False;rag_candidates;O candidato C187 tem o maior score de 0.6906 e está relacionado ao diagnóstico de Neoplasia maligna do cólon sigmóide.;"[""C18"", ""C179"", ""C187"", ""C178"", ""C182"", ""C189"", ""C173"", ""C181""]";"[""CR_111""]"
M-82103;Adenocarcinoma Em Adenoma;Pólipo de reto;C20;C18;0.7;False;snomed_support_plus_rag;O CID C18 é o mais provável devido ao alto score de 0.7 do SNOMED M-82103.;"[""C18"", ""C179"", ""C173"", ""C178"", ""C181"", ""C155"", ""C154"", ""C785""]";"[""SNOMED_50""]"
