SNOMED;Diagnóstico;Topografia;CID;CID_PREDITO;CONFIANCA;NEEDS_REVIEW;METODO;JUSTIFICATIVA;CANDIDATOS_CID;FONTES_RAG
M-90100;Alteração Fibroadenomatoide;Mama esquerda - 01 Hora(Mamotomia);;D24;0.6379;False;rag_candidates;O CID D24 foi escolhido porque foi o único candidato com um score de 0.6379, que é o maior score encontrado. Além disso, o CID D24 foi encontrado no contexto recuperado com um score de 0.6379, o que indica que ele é o melhor candidato.;"[""D24"", ""D059"", ""D05"", ""C501"", ""C508"", ""C500"", ""C50"", ""C12""]";"[""CR_694""]"
M-40000;Gastrite;Antro gástrico;K29;D002;0.6418;False;rag_candidates;Carcinoma in situ do estômago;"[""D002"", ""D131"", ""C944"", ""D762"", ""D371"", ""C16"", ""C161"", ""C162""]";"[""SNOMED_625"", ""SNOMED_653"", ""SNOMED_1080"", ""CR_523""]"
M-71600;Bócio;Tireoide;D34;D760;0.8;False;rag_candidates;O paciente apresenta um tumor na tireoide, que é um tipo de neoplasia. O CID D760 é o mais provável, pois é um tumor da tireoide.;"[""D440"", ""D34"", ""D093"", ""D150"", ""D761"", ""C73"", ""D760"", ""C37""]";"[""DT_883"", ""DT_884"", ""DT_885"", ""DT_886"", ""DT_887""]"
M-82110;ADENOMA SERRILHADO;Cólon ascendente;D12;C187;0.6975;False;rag_candidates;O candidato C187 foi escolhido porque tem o maior score de confiança (0,6975) e é o único candidato com evidência de 'vector_cid' que se alinha com o diagnóstico do paciente.;"[""C187"", ""C186"", ""C210"", ""C181"", ""D010"", ""C211"", ""C482"", ""C178""]";"[""SNOMED_159"", ""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D12;C187;0.7146;False;rag_candidates;O candidato C187 foi escolhido porque tem o maior score de confiança (0,7146) e é o único candidato com evidência de 'vector_cid' que se alinha com o diagnóstico do paciente.;"[""C187"", ""C210"", ""C186"", ""D010"", ""C178"", ""C188"", ""C179"", ""C211""]";"[""SNOMED_159"", ""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D129;C187;0.7146;False;rag_candidates;O candidato C187 foi escolhido porque tem o maior score de confiança (0,7146) e é o único candidato com evidência de 'vector_cid' que se alinha com o diagnóstico do paciente.;"[""C187"", ""C210"", ""C186"", ""D010"", ""C178"", ""C188"", ""C179"", ""C211""]";"[""SNOMED_159"", ""SNOMED_2504"", ""CR_111""]"
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D12;C210;0.6612;False;rag_candidates;O candidato C210 foi escolhido porque foi o único com um score de 0.6612 e foi suportado por evidência de vetor CID.;"[""C210"", ""D011"", ""C850"", ""C19"", ""C311"", ""C677"", ""C438"", ""C310""]";"[""CR_117""]"
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D129;C210;0.6612;False;rag_candidates;O candidato C210 foi escolhido porque foi o único com um score de 0.6612 e foi suportado por evidência de vetor CID.;"[""C210"", ""D011"", ""C850"", ""C19"", ""C311"", ""C677"", ""C438"", ""C310""]";"[""CR_117""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C180;C182;0.7045;False;rag_candidates;O candidato C182 tem o maior score de confiança (0.7045) e é o único candidato com evidência de suporte exact_snomed_support.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""D010"", ""C173""]";"[""SNOMED_50"", ""CR_106""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C181;C182;0.7045;False;rag_candidates;O candidato C182 tem o maior score de confiança (0.7045) e é o único candidato com evidência de suporte exact_snomed_support.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""D010"", ""C173""]";"[""SNOMED_50"", ""CR_106""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C182;C182;0.7045;False;rag_candidates;O candidato C182 tem o maior score de confiança (0.7045) e é o único candidato com evidência de suporte exact_snomed_support.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""D010"", ""C173""]";"[""SNOMED_50"", ""CR_106""]"
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C183;C182;0.7045;False;rag_candidates;O candidato C182 tem o maior score de confiança (0.7045) e é o único candidato com evidência de suporte exact_snomed_support.;"[""C18"", ""C182"", ""C179"", ""C178"", ""C181"", ""C189"", ""D010"", ""C173""]";"[""SNOMED_50"", ""CR_106""]"
